Date,Open,High,Low,Last,Volume,Open Interest
2008/4/16,989,1007,984,1004,396,16515
2008/4/15,990,1010,984.25,992,886,16622
2008/4/14,1009,1012,978,990,1009,16630
2008/4/11,1013,1022,1000,1010,842,16568
2008/4/10,1040.5,1045.5,1011,1016,107,16730
2008/4/9,1040,1051,998,1042,1016,16747
2008/4/8,1016.25,1047,1016.25,1035,1182,16660
2008/4/7,1090,1090,1018,1030,1023,16892
2008/4/4,1024,1088.25,1024,1078,963,16699
2008/4/3,1024.5,1039.75,1011,1035,748,16491
2008/4/2,980,1020,977,1020,1426,16543
2008/4/1,972.25,999,972.25,976.75,1428,16321
2008/3/31,1040,1049,980,998.75,765,16442
2008/3/28,1074,1074,1025,1040,725,16024
2008/3/27,1092,1097,1054,1080,643,15932
2008/3/26,1116.5,1140,1080,1087.5,765,15908
2008/3/25,1078,1153,1068.5,1125,771,15751
2008/3/24,1022,1095,1020,1078,699,15925
2008/3/20,1107.25,1115,1009,1022,1524,15494
2008/3/19,1175,1178,1088,1094,1049,15869
2008/3/18,1137,1180,1137,1173,941,15777
2008/3/17,1210,1225,1150,1150,524,15653
2008/3/14,1353,1353,1280,1310,596,8351
2008/3/13,1358,1390,1338,1347,2181,8604
2008/3/12,1315,1375,1282.25,1360,1645,8209
2008/3/11,1226,1310,1220,1310,776,8195
2008/3/10,1155.5,1233,1142,1220,2754,8224
2008/3/7,1225,1230,1174.5,1174.5,1807,8772
2008/3/6,1242,1250,1200,1234.5,1891,9301
2008/3/5,1259.5,1270,1210,1230,1297,9288
2008/3/4,1298,1325,1243.25,1260,1464,9054
2008/3/3,1364.75,1392.5,1300,1303.25,1342,9016
2008/2/29,1335,1350,1275,1350,1494,8660
2008/2/28,1420,1440,1302.75,1346,1360,8485
2008/2/27,1624,1624,1350,1400,2049,8349
2008/2/26,1525,1525,1268,1525,2152,8428
2008/2/25,1310,1390,1303,1390,1163,7899
2008/2/22,1243,1300,1240,1300,936,7875
2008/2/21,1203.5,1240,1200,1240,1054,7831
2008/2/20,1206,1220,1175,1212,1354,7470
2008/2/19,1204.75,1245,1184.25,1218,1707,7322
2008/2/15,1200,1215,1160,1200,1331,7022
2008/2/14,1130,1199,1130,1175,1064,6578
2008/2/13,1141.25,1155,1115,1133,1140,6530
2008/2/12,1225.25,1225.25,1165.25,1165.25,571,6542
2008/2/11,1310,1310,1190,1225.25,1646,6534
2008/2/8,1248,1250,1248,1250,707,6358
2008/2/7,1220,1220,1205.5,1220,651,6478
2008/2/6,1190,1190,1190,1190,794,6372
2008/2/5,1139.75,1160,1130,1160,1203,6268
2008/2/4,1137.25,1149.25,1103.25,1130,1190,6452
2008/2/1,1099,1125,1070.25,1125,893,6229
2008/1/31,1113.5,1113.5,1085,1095,1369,6060
2008/1/30,1118.5,1139,1115,1115,482,5754
2008/1/29,1182.75,1186,1126,1145,1281,5575
2008/1/28,1156,1156,1135,1156,1111,5529
2008/1/25,1105.25,1126,1105.25,1126,572,4976
2008/1/24,1102,1105,1085,1096,769,4993
2008/1/23,1107,1110,1074,1075,1263,4918
2008/1/22,1069,1115,1066.5,1096.25,1053,4592
2008/1/18,1065,1085,1050,1085,919,4261
2008/1/17,1027,1055,1027,1055,261,4045
2008/1/16,1024,1040,1000,1025,1082,3972
2008/1/15,1002,1031,1002,1024,1174,3781
2008/1/14,991,1001.75,991,1001,136,3371
2008/1/11,971.75,971.75,960,971.75,67,3365
2008/1/10,939,950,936.75,941.75,663,3394
2008/1/9,941,949,935,938,596,3039
2008/1/8,949,953,940,941,282,2870
2008/1/7,970,970,940,940,107,2884
2008/1/4,946.5,959,943,950,204,2813
2008/1/3,968.5,975,961,968,206,2724
2008/1/2,950,950,950,950,0,2722
2007/12/31,927,941,927,932,5,2724
2007/12/28,940,947,920,926,74,2725
2007/12/27,951,955,936,936,44,2679
2007/12/26,956,968,952,963,21,2645
2007/12/24,950,950,950,950,2,2649
2007/12/21,962,962,951.5,951.5,74,2659
2007/12/20,962,975,960,960,137,2643
2007/12/19,946,973,946,970,166,2774
2007/12/18,945.25,962,932,948,233,2809
2007/12/17,982,988,955,962,498,2796
2007/12/14,1018,1045,996,1036.25,1153,8394
2007/12/13,1008,1034,992,1018.75,1734,8544
2007/12/12,978.25,1011,977,1011,1276,8150
2007/12/11,992,996,973.5,981,2380,8021
2007/12/10,987.5,1004.5,987.5,991,1221,7530
2007/12/7,951.5,977,947,977,2616,7074
2007/12/6,925.75,948,925,947,1254,6370
2007/12/5,924,929,912.75,926,1248,5945
2007/12/4,914.5,925,909,925,920,5632
2007/12/3,917,923,899.75,906,1042,5510
2007/11/30,904,938,893,920.25,1258,5134
2007/11/29,900,930.5,898.25,913,899,4758
2007/11/28,874,900.5,870,900.5,990,4495
2007/11/27,856.5,871,855,870.5,487,4122
2007/11/26,865,872,858,859.5,688,3845
2007/11/23,843,871.5,842.25,858,36,3683
2007/11/21,827.5,846,819,846,263,3714
2007/11/20,792,819,792,816,772,3652
2007/11/19,799.5,804,797,800,414,3712
2007/11/16,790,802,788,792,296,3796
2007/11/15,798,804,795,803.5,480,3803
2007/11/14,782,794,782,787.25,640,3850
2007/11/13,789,794,777,778,590,3867
2007/11/12,788,792.5,778,788,160,3436
2007/11/9,781.5,790,777,788,11,3469
2007/11/8,815,815,791,791,160,3436
2007/11/7,814,822,805,815,133,3422
2007/11/6,810,814,810,811,58,3432
2007/11/5,785,797,785,795,216,3436
2007/11/2,785,790,781,788,914,3311
2007/11/1,811,811,783,784.75,56,3086
2007/10/31,802.25,812,802.25,809,244,3095
2007/10/30,810,816,807,807,121,3104
2007/10/29,824.25,833,822,826,184,3057
